Date,Province,Commodity,Price
2020-02-01,SULAWESI TENGAH,Chili (red),22931.035000000003
2020-02-01,SULAWESI TENGAH,"Chili (red, curly)",22413.79
2020-02-01,SULAWESI TENGAH,"Chili (red, large)",40000.0
2020-02-01,SULAWESI TENGGARA,Chili (bird's eye),64941.81
2020-02-01,SULAWESI TENGGARA,"Chili (bird's eye, green)",59215.520000000004
2020-02-01,SULAWESI TENGGARA,"Chili (bird's eye, red)",70668.10500000001
2020-02-01,SULAWESI TENGGARA,Chili (red),38797.62333333333
2020-02-01,SULAWESI TENGGARA,"Chili (red, curly)",35754.3075
2020-02-01,SULAWESI TENGGARA,"Chili (red, large)",39314.655
2020-02-01,SULAWESI UTARA,Chili (bird's eye),36176.725
2020-02-01,SULAWESI UTARA,"Chili (bird's eye, green)",26379.309999999998
2020-02-01,SULAWESI UTARA,"Chili (bird's eye, red)",45974.134999999995
2020-02-01,SULAWESI UTARA,Chili (red),25982.76
2020-02-01,SULAWESI UTARA,"Chili (red, curly)",26982.76
2020-02-01,SUMATERA BARAT,Chili (bird's eye),38114.943333333336
2020-02-01,SUMATERA BARAT,"Chili (bird's eye, green)",37270.11666666667
2020-02-01,SUMATERA BARAT,Chili (red),44400.865
2020-02-01,SUMATERA BARAT,"Chili (red, curly)",44400.865
2020-02-01,SUMATERA SELATAN,Chili (bird's eye),72737.065
2020-02-01,SUMATERA SELATAN,"Chili (bird's eye, green)",53247.12666666667
2020-02-01,SUMATERA SELATAN,"Chili (bird's eye, red)",68022.98666666666
2020-02-01,SUMATERA SELATAN,Chili (red),53867.81333333333
2020-02-01,SUMATERA SELATAN,"Chili (red, curly)",55183.91
2020-02-01,SUMATERA SELATAN,"Chili (red, large)",52551.72333333333
2020-02-01,SUMATERA UTARA,Chili (bird's eye),33717.6725
2020-02-01,SUMATERA UTARA,"Chili (bird's eye, green)",33025.862
2020-02-01,SUMATERA UTARA,"Chili (bird's eye, red)",32577.585
2020-02-01,SUMATERA UTARA,Chili (red),38183.90777777778
2020-02-01,SUMATERA UTARA,"Chili (red, curly)",37990.59545454545
2020-03-01,,Chili (bird's eye),55722.0
2020-03-01,ACEH,Chili (bird's eye),34230.736666666664
2020-03-01,ACEH,"Chili (bird's eye, green)",33512.77
2020-03-01,ACEH,Chili (red),33324.7325
